date,ctas_level,patients,avg_wait_minutes,median_wait_minutes,avg_treatment_minutes,median_treatment_minutes,avg_total_ed_minutes,median_total_ed_minutes
2024-01-01,1,4,,,,,5.0,5.0
2024-01-01,2,26,344.5,344.5,,,42.5,5.0
2024-01-01,3,33,279.6,325.0,149.0,149.0,61.666666666666664,5.0
2024-01-01,4,6,,,,,5.0,5.0
2024-01-01,5,4,,,,,93.75,5.0
