date,ctas_level,patients,avg_wait_minutes,median_wait_minutes,avg_treatment_minutes,median_treatment_minutes,avg_total_ed_minutes,median_total_ed_minutes
2024-01-01,1,10,,,,,64.9,62.5
2024-01-01,2,82,259.6666666666667,213.0,58.5,58.5,85.3780487804878,94.5
2024-01-01,3,97,251.28571428571428,252.0,108.75,83.0,85.10309278350516,80.0
2024-01-01,4,18,,,,,46.94444444444444,29.0
2024-01-01,5,5,,,,,95.4,58.0
