date,ctas_level,patients,avg_wait_minutes,median_wait_minutes,avg_treatment_minutes,median_treatment_minutes,avg_total_ed_minutes,median_total_ed_minutes
2024-01-01,2,2,,,,,3.5,3.5
2024-01-01,3,1,,,,,1.0,1.0
